,predicted_mean
2027-06-24,2914.4699413647763
2027-06-25,2964.946923578238
2027-06-26,3164.1371995811887
2027-06-27,3367.8937424702053
2027-06-28,3423.9004718631254
2027-06-29,3279.161148228499
2027-06-30,3050.3274769157206
2027-07-01,2915.6667890402036
2027-07-02,2966.710498699856
2027-07-03,3164.5141615647403
2027-07-04,3368.958617559828
2027-07-05,3427.2409765842535
2027-07-06,3280.0051528376207
2027-07-07,3051.9749264277925
2027-07-08,2917.6221050608124
2027-07-09,2968.589973672457
2027-07-10,3166.45863767597
2027-07-11,3370.8289694464447
2027-07-12,3429.2243488850504
2027-07-13,3281.8726629745297
2027-07-14,3053.9359805341883
2027-07-15,2919.5042858873176
2027-07-16,2970.5540163067294
2027-07-17,3168.340737578923
2027-07-18,3372.7928306214676
2027-07-19,3431.107021591326
2027-07-20,3283.836425354599
2027-07-21,3055.818421243407
2027-07-22,2921.4681797778744
2027-07-23,2972.436557603542
